produto_id;nome;preco_compra;preco_venda;estoque
1;Truffle Shells - White Chocolate;42.88;0.1;40
2;Juice - Cranberry 284ml;16.32;0.1;26
3;Wine - Red Oakridge Merlot;84.98;0.1;1
4;Puree - Mocha;75.06;0.1;15
5;Soup - Campbells Chicken;55.75;0.1;21
6;Veal - Brisket. Provimi. Bone - In;67.11;0.1;22
7;Lobster - Tail. 3 - 4 Oz;51.86;0.1;6
8;Mortadella;58.67;0.1;41
9;Schnappes - Peach. Walkers;57.72;0.1;32
10;Cheese - La Sauvagine;22.09;0.1;2
11;Tomato - Plum With Basil;34.72;0.1;43
12;Water - Spring Water. 355 Ml;56.29;0.1;8
13;Beef - Cow Feet Split;72.01;0.1;33
14;Soup - Campbells Pasta Fagioli;13.26;0.1;8
15;Cheese - Le Cheve Noir;32.9;0.1;34
16;Whmis - Spray Bottle Trigger;75.44;0.1;30
17;Chicken - White Meat With Tender;93.18;0.1;37
18;Wine - Casillero Del Diablo;49.17;0.1;9
19;Mountain Dew;90.58;0.1;43
20;Pork - Sausage. Medium;72.26;0.1;42
21;Fish - Atlantic Salmon. Cold;36.77;0.1;42
22;Wine - Hardys Bankside Shiraz;45.51;0.1;8
23;Beef - Texas Style Burger;90.07;0.1;12
24;Muffin Mix - Banana Nut;71.45;0.1;12
25;Pumpkin;23.77;0.1;9
26;Wine - White. Mosel Gold;31.45;0.1;48
27;Fudge - Cream Fudge;79.34;0.1;8
28;V8 - Berry Blend;97.17;0.1;28
29;Cheese - Goat With Herbs;29.47;0.1;1
30;Tomato - Tricolor Cherry;40.0;0.1;26
31;Juice - Clam. 46 Oz;84.77;0.1;23
32;Pail - 15l White. With Handle;75.33;0.1;32
33;Tart Shells - Sweet. 3;83.32;0.1;46
34;Goat - Whole Cut;55.62;0.1;30
35;Spinach - Packaged;37.14;0.1;48
36;Soup - Knorr. Chicken Noodle;64.47;0.1;0
37;Lamb - Leg. Diced;80.28;0.1;30
38;Bag - Bread. White. Plain;37.56;0.1;49
39;Garlic;72.47;0.1;31
40;Beef - Shank;78.9;0.1;1
